Month,Employee Name,Grade,Project Id,Project Name,Billing Type,Client,Vertical,Horizontal,Onsite/Offshore,Billed Hours,Blend,Rate, Cost ,Practice Mul,Client Mul,Unbilled,Comment, Revenue , Compensation ,Travel Expense, Software Licenses , Subcontracting Costs ,Margin
Jan-16,Carny Oaks,Senior Associate,271,Alcoa_Analytics_project,FixedBid,Alcoa,Manlog,Analytics,Onsite,161,OnsiteSenior Associate,60," 6,250 ",1.2,1,0,," 11,520 "," 6,250 ", 200 , 250 , -   ," 4,820 "
Jan-16,Eal Tregale,Analyst,133,Berkshire Hathaway_QA_project,T&M,Berkshire Hathaway,BFS,QA,Onsite,0,OnsiteAnalyst,48," 5,417 ",0.8,1.03,0,, -   , -   , 500 , 500 , -   ," (1,000)"
Jan-16,Demetre Seeger,Associate,24,Citigroup_QA_project,T&M,Citigroup,BFS,QA,Offshore,167,OffshoreAssociate,30, 615 ,0.8,0.9,0,," 3,607 ", 615 , -   , 10 , -   ," 2,982 "
Jan-16,Auguste Everton,Analyst,37,Verizon Communications_HCM_project,T&M,Verizon Communications,Technology,HCM,Offshore,164,OffshoreAnalyst,24, 385 ,1.1,0.98,0,," 4,243 ", 385 , -   , 100 , -   ," 3,758 "
Jan-16,Humbert Ughini,Analyst,171,Dell Computer_QA_project,FixedBid,Dell Computer,Technology,QA,Offshore,168,OffshoreAnalyst,24, 385 ,0.8,1.05,0,," 3,226 ", 385 , 750 , -   , -   ," 2,091 "
Jan-16,Julienne Turgoose,Senior Associate,116,Sears Roebuck_QA_project,FixedBid,Sears Roebuck,Retail,QA,Onsite,166,OnsiteSenior Associate,60," 6,250 ",0.8,0.9,0,," 6,912 "," 6,250 ", 200 , 500 , -   , (38)
Jan-16,Fulvia Piatto,Analyst,109,McKesson_HCM_project,T&M,McKesson,Healthcare,HCM,Offshore,0,OffshoreAnalyst,24, 385 ,1.1,1.04,0,, -   , -   , 750 , 50 , -   , (800)
Jan-16,Adda Pogson,Senior Manager,14,Enron_HCM_project,T&M,Enron,Manlog,HCM,Offshore,162,OffshoreSenior Manager,48," 1,538 ",1.1,1.14,0,," 9,751 "," 1,538 ", -   , 500 , -   ," 7,713 "
Jan-16,Darci Klemke,Analyst,88,State Farm Insurance_QA_project,T&M,State Farm Insurance,BFS,QA,Offshore,0,OffshoreAnalyst,24, 385 ,0.8,0.8,0,, -   , -   ," 1,000 ", -   , -   ," (1,000)"
Jan-16,Robinett Letford,Analyst,130,Albertson's_SAP_project,T&M,Albertson's,Retail,SAP,Offshore,166,OffshoreAnalyst,24, 385 ,1,1.15,0,," 4,582 ", 385 , 750 , 100 , -   ," 3,347 "
Jan-16,Vevay Willox,Manager,231,Walt Disney_QA_project,T&M,Walt Disney,Others,QA,Offshore,167,OffshoreManager,40," 1,231 ",0.8,1.16,0,," 6,199 "," 1,231 ", 500 , 50 , -   ," 4,418 "
Jan-16,Albert Wozencroft,Senior Associate,286,Cisco Systems_Cloud_project,T&M,Cisco Systems,Technology,Cloud,Onsite,0,OnsiteSenior Associate,60," 6,250 ",0.9,0.95,0,, -   , -   , -   , 10 , -   , (10)
Jan-16,Grayce Shirt,Senior Associate,198,Prudential Financial_HCM_project,T&M,Prudential Financial,BFS,HCM,Offshore,162,OffshoreSenior Associate,35, 923 ,1.1,0.99,0,," 6,175 ", 923 , -   , 50 , -   ," 5,202 "
Jan-16,Kenon Noonan,Contractor,252,BellSouth_HCM_project,T&M,BellSouth,Technology,HCM,Onsite,164,OnsiteContractor,65, 79 ,1.1,1.07,0,," 12,547 ", -   , 750 , 50 ," 12,956 "," (1,209)"
Jan-16,Garrik Carriage,Contractor,102,Dynegy_Cloud_project,T&M,Dynegy,Others,Cloud,Offshore,167,OffshoreContractor,40, 41 ,0.9,1.03,0,," 6,192 ", -   , -   , 100 ," 6,847 ", (755)
Jan-16,Mignonne Orred,Contractor,179,Motorola_QA_project,FixedBid,Motorola,Technology,QA,Offshore,0,OffshoreContractor,35, 54 ,0.8,1.1,0,," 4,928 ", -   , -   , 250 , -   ," 4,678 "
Jan-16,Hildagarde Fantini,Manager,124,Merrill Lynch_SAP_project,T&M,Merrill Lynch,BFS,SAP,Offshore,0,OffshoreManager,40," 1,231 ",1,1.15,0,, -   , -   ," 1,000 ", -   , -   ," (1,000)"
Jan-16,Allison Cerro,Analyst,171,Dell Computer_QA_project,FixedBid,Dell Computer,Technology,QA,Offshore,164,OffshoreAnalyst,24, 385 ,0.8,1.05,0,," 3,226 ", 385 , -   , 250 , -   ," 2,591 "
Jan-16,Yehudi Prover,Contractor,246,Walgreen_QA_project,T&M,Walgreen,Healthcare,QA,Onsite,162,OnsiteContractor,60, 73 ,0.8,0.86,0,," 6,687 ", -   , -   , 10 ," 11,826 "," (5,149)"
Jan-16,Tomlin McCard,Senior Manager,231,Walt Disney_QA_project,T&M,Walt Disney,Others,QA,Offshore,162,OffshoreSenior Manager,48," 1,538 ",0.8,1.16,1,, -   ," 1,538 ", 500 , 10 , -   ," (2,048)"
Jan-16,Tracy Tittletross,Associate,62,Home Depot_HCM_project,T&M,Home Depot,Retail,HCM,Offshore,111,OffshoreAssociate,30, 615 ,1.1,1.01,0,," 3,700 ", 615 , 500 , 50 , -   ," 2,534 "
Jan-16,Jillana De Beauchamp,Associate,153,Compaq Computer_QA_project,T&M,Compaq Computer,Technology,QA,Onsite,0,OnsiteAssociate,54," 5,667 ",0.8,1.07,0,, -   , -   ," 1,000 ", -   , -   ," (1,000)"
Jan-16,Darcy Truman,Manager,260,UnitedHealth Group_QA_project,T&M,UnitedHealth Group,BFS,QA,Onsite,0,OnsiteManager,65," 7,500 ",0.8,1.07,0,, -   , -   , -   , 10 , -   , (10)
Jan-16,Jessamine Clapison,Analyst,258,Honeywell Intl._SAP_project,T&M,Honeywell Intl.,Technology,SAP,Offshore,102,OffshoreAnalyst,24, 385 ,1,1.17,0,," 2,864 ", 385 , -   , 10 , -   ," 2,470 "
Jan-16,Desiri Erangey,Analyst,187,United Technologies_HCM_project,T&M,United Technologies,Technology,HCM,Offshore,0,OffshoreAnalyst,24, 385 ,1.1,1.2,0,, -   , -   , -   , 250 , -   , (250)
Jan-16,Ozzy Challicum,Analyst,128,AOL Time Warner_SAP_project,T&M,AOL Time Warner,Technology,SAP,Offshore,165,OffshoreAnalyst,24, 385 ,1,0.95,0,," 3,762 ", 385 , 500 , -   , -   ," 2,877 "
Jan-16,Ajay Benadette,Senior Manager,54,Boeing_SAP_project,T&M,Boeing,Manlog,SAP,Offshore,162,OffshoreSenior Manager,48," 1,538 ",1,0.99,0,," 7,698 "," 1,538 ", -   , -   , -   ," 6,160 "
Jan-16,Kerr Isaacs,Director,202,Wells Fargo_Cloud_project,FixedBid,Wells Fargo,BFS,Cloud,Offshore,161,OffshoreDirector,55," 2,308 ",0.9,1,0,," 7,920 "," 2,308 ", -   , -   , -   ," 5,612 "
Jan-16,Sherm MacFadin,Analyst,256,Honeywell Intl._Analytics_project,T&M,Honeywell Intl.,Technology,Analytics,Offshore,0,OffshoreAnalyst,24, 385 ,1.2,1.17,0,, -   , -   ," 1,000 ", 250 , -   ," (1,250)"
