Month,Employee Name,Grade,Project Id,Project Name,Billing Type,Client,Vertical,Horizontal,Onsite/Offshore,Billed Hours,Blend,Rate, Cost ,Practice Mul,Client Mul,Unbilled,Comment, Revenue , Compensation ,Travel Expense, Software Licenses , Subcontracting Costs ,Margin
Jan,Carny Oaks,Senior Associate,271,Alcoa_Analytics_project,FixedBid,Alcoa,Manlog,Analytics,Onsite,161,OnsiteSenior Associate,60," 6,250 ",1.2,1,0,," 11,520 "," 6,250 ", 200 , 250 , -   ," 4,820 "
Jan,Eal Tregale,Analyst,133,Berkshire Hathaway_QA_project,T&M,Berkshire Hathaway,BFS,QA,Onsite,0,OnsiteAnalyst,48," 5,417 ",0.8,1.03,0,, -   , -   , 500 , 500 , -   ," (1,000)"
Jan,Demetre Seeger,Associate,24,Citigroup_QA_project,T&M,Citigroup,BFS,QA,Offshore,167,OffshoreAssociate,30, 615 ,0.8,0.9,0,," 3,607 ", 615 , -   , 10 , -   ," 2,982 "
Jan,Auguste Everton,Analyst,37,Verizon Communications_HCM_project,T&M,Verizon Communications,Technology,HCM,Offshore,164,OffshoreAnalyst,24, 385 ,1.1,0.98,0,," 4,243 ", 385 , -   , 100 , -   ," 3,758 "
Jan,Humbert Ughini,Analyst,171,Dell Computer_QA_project,FixedBid,Dell Computer,Technology,QA,Offshore,168,OffshoreAnalyst,24, 385 ,0.8,1.05,0,," 3,226 ", 385 , 750 , -   , -   ," 2,091 "
Jan,Julienne Turgoose,Senior Associate,116,Sears Roebuck_QA_project,FixedBid,Sears Roebuck,Retail,QA,Onsite,166,OnsiteSenior Associate,60," 6,250 ",0.8,0.9,0,," 6,912 "," 6,250 ", 200 , 500 , -   , (38)
Jan,Fulvia Piatto,Analyst,109,McKesson_HCM_project,T&M,McKesson,Healthcare,HCM,Offshore,0,OffshoreAnalyst,24, 385 ,1.1,1.04,0,, -   , -   , 750 , 50 , -   , (800)
Jan,Adda Pogson,Senior Manager,14,Enron_HCM_project,T&M,Enron,Manlog,HCM,Offshore,162,OffshoreSenior Manager,48," 1,538 ",1.1,1.14,0,," 9,751 "," 1,538 ", -   , 500 , -   ," 7,713 "
Jan,Darci Klemke,Analyst,88,State Farm Insurance_QA_project,T&M,State Farm Insurance,BFS,QA,Offshore,0,OffshoreAnalyst,24, 385 ,0.8,0.8,0,, -   , -   ," 1,000 ", -   , -   ," (1,000)"
Jan,Robinett Letford,Analyst,130,Albertson's_SAP_project,T&M,Albertson's,Retail,SAP,Offshore,166,OffshoreAnalyst,24, 385 ,1,1.15,0,," 4,582 ", 385 , 750 , 100 , -   ," 3,347 "
Jan,Vevay Willox,Manager,231,Walt Disney_QA_project,T&M,Walt Disney,Others,QA,Offshore,167,OffshoreManager,40," 1,231 ",0.8,1.16,0,," 6,199 "," 1,231 ", 500 , 50 , -   ," 4,418 "
